1.8	B	0	0
2.1	B	0	0
2.4	B	0	0
2.7	B	0	0
3.0	B	0	0
3.3	B	0	0
3.6	B	0	0
3.9	B	0	0
4.2	B	0	0
4.5	B	0	0
4.8	B	0	0
5.1	B	0	0
5.4	B	0	0
5.7	B	0	0
6.0	B	0	0
6.3	B	0	0
6.6	B	0	0
6.9	B	0	0
7.2	B	0	0
7.5	B	0	0
7.8	B	0	0
8.1	B	0	0
8.4	B	0	0
8.7	B	0	0
9.0	B	0	0
9.3	B	0	0
9.6	B	0	0
9.9	B	0	0
10.2	B	0	0
10.5	B	0	0
10.8	B	0	0
11.1	B	0	0
11.4	B	0	0
11.7	B	0	0
12.0	B	0	0
12.3	B	0	0
12.6	B	0	0
12.9	B	0	0
13.2	B	0	0
13.5	B	0	0
13.8	B	0	0
14.1	B	0	0
14.4	B	0	0
14.7	B	0	0
15.0	B	0	0
15.3	B	0	0
15.6	B	0	0
15.9	B	0	0
16.2	B	0	0
16.5	B	0	0
16.8	B	0	0
17.1	B	0	0
17.4	B	0	0
17.7	B	0	0
18.0	B	0	0
18.3	B	0	0
18.6	B	0	0
18.9	B	0	0
19.2	B	0	0
19.5	B	0	0
19.8	B	0	0
20.1	B	0	0
20.4	B	0	0
20.7	B	0	0
21.0	B	0	0
21.3	B	0	0
21.6	B	0	0
21.9	B	0	0
22.2	B	0	0
22.5	B	0	0
22.8	B	0	0
23.1	B	0	0
23.4	B	0	0
23.7	B	0	0
24.0	B	0	0
24.3	B	0	0
24.6	B	0	0
24.9	B	0	0
25.2	B	0	0
25.5	B	0	0
25.8	B	0	0
26.1	B	0	0
26.4	B	0	0
26.7	B	0	0
27.0	B	0	0
27.3	B	0	0
27.6	B	0	0
27.9	B	0	0
28.2	B	0	0
28.5	B	0	0
28.8	B	0	0
29.1	B	0	0
29.4	B	0	0
29.7	B	0	0
30.0	B	0	0
30.3	B	0	0
30.6	B	0	0
30.9	B	0	0
31.2	B	0	0
31.5	B	0	0
31.8	B	0	0
32.1	B	0	0
32.4	B	0	0
32.7	B	0	0
33.0	B	0	0
33.3	B	0	0
33.6	B	0	0
33.9	B	0	0
34.2	B	0	0
34.5	B	0	0
34.8	B	0	0
35.1	B	0	0
35.4	B	0	0
35.7	B	0	0
36.0	B	0	0
36.3	B	0	0
36.6	B	0	0
36.9	B	0	0
37.2	B	0	0
37.5	B	0	0
37.8	B	0	0
38.1	B	0	0
38.4	B	0	0
38.7	B	0	0
39.0	B	0	0
39.3	B	0	0
39.6	B	0	0
39.9	B	0	0
40.2	B	0	0
40.5	B	0	0
